capacity_peer_group,group_size,group_median_price,group_mean_price,group_median_residual,group_mean_residual,group_std_residual
78741 | Private room | 5-6 guests,3,175.5,194.97333333333336,0.4067983100397754,0.2734139841452423,0.2710054322513484
78742 | Entire home/apt | 1-2 guests,1,124.5,124.5,-0.1670542177217866,-0.1670542177217866,
78742 | Entire home/apt | 3-4 guests,1,399.5,399.5,0.0597313403714734,0.0597313403714734,
78742 | Entire home/apt | 5-6 guests,1,223.0,223.0,0.0407432128293701,0.0407432128293701,
78742 | Entire home/apt | 7+ guests,1,615.0,615.0,-0.1967130440114495,-0.1967130440114495,
78744 | Entire home/apt | 1-2 guests,31,123.0,133.58870967741936,-0.0555983712676075,-0.0699155137104162,0.31627834696349344
78744 | Entire home/apt | 3-4 guests,44,177.345,212.90090909090907,-0.0178603581903269,0.04721348967598775,0.4332128967680042
78744 | Entire home/apt | 5-6 guests,60,234.9,324.791,-0.01326547757260595,0.07853788742113241,0.4239923999024621
78744 | Entire home/apt | 7+ guests,80,327.25,372.594875,-0.07253743092932205,-0.01775746275136647,0.33852847998254426
78744 | Hotel room | 1-2 guests,10,117.5,109.5,-0.015810695172517004,-0.033181236647747074,0.17802671377061763
78744 | Hotel room | 3-4 guests,8,102.5,111.125,-0.0716863156078649,-0.12272670039190482,0.3100162946217698
78744 | Private room | 1-2 guests,110,67.83,78.11809090909091,-0.0589008184592585,0.0015090897876442718,0.34669079351524434
78744 | Private room | 3-4 guests,6,99.5,146.93166666666667,-0.15124610880866116,-0.022245753361791226,0.513318182890863
78745 | Entire home/apt | 1-2 guests,65,103.0,139.7963076923077,0.056320779879198,0.06221068923370208,0.3556060888402569
78745 | Entire home/apt | 3-4 guests,123,147.0,172.93317073170732,-0.0095753209319058,-0.003584468903348641,0.32181668733028346
78745 | Entire home/apt | 5-6 guests,135,223.67,235.77570370370373,-0.0056567762294932,-0.025649317618675893,0.2968453840050975
78745 | Entire home/apt | 7+ guests,175,365.0,430.9517142857143,-0.0137907272887245,-0.012125925373261555,0.3560564359397374
78745 | Private room | 1-2 guests,83,80.0,88.30289156626506,-0.1160780508865473,-0.06824112121505647,0.342169991465917
78745 | Private room | 3-4 guests,7,100.0,101.57142857142857,-0.1744784438302353,-0.14159594000710563,0.19668366291198894
78745 | Private room | 5-6 guests,1,200.0,200.0,0.1141061602584656,0.1141061602584656,
78745 | Private room | 7+ guests,2,342.8,342.8,-0.1447742106563891,-0.1447742106563891,0.14135566130223967
78746 | Entire home/apt | 1-2 guests,8,181.75,204.19125,-0.021009040415501452,0.002510341238945328,0.25912739921090794
78746 | Entire home/apt | 3-4 guests,23,271.6,336.8252173913043,0.0398592905670032,0.14694116037800828,0.4389882927567106
78746 | Entire home/apt | 5-6 guests,31,399.67,477.31774193548387,-0.0379408511297052,0.0012616378366547706,0.35729791078752376
78746 | Entire home/apt | 7+ guests,71,1002.0,1187.9956338028169,-0.0228055994851725,0.05274064716279064,0.517346760470435
78746 | Private room | 1-2 guests,18,112.69,114.64666666666666,-0.0222491166941996,-0.01798296191248701,0.25000281585252104
78746 | Private room | 5-6 guests,1,256.0,256.0,-0.0799897823291093,-0.0799897823291093,
78746 | Private room | 7+ guests,1,262.28,262.28,-1.262998141509982,-1.262998141509982,
78747 | Entire home/apt | 1-2 guests,3,120.0,115.57,-0.0851735839463065,-0.14627077624635934,0.1509225181244341
78747 | Entire home/apt | 3-4 guests,6,234.79,257.2,0.17424322305273415,0.17480869840967148,0.16165250056386551
78747 | Entire home/apt | 5-6 guests,8,208.05,202.5775,-0.09140846279990765,0.006269085889749629,0.33944685197189645
78747 | Entire home/apt | 7+ guests,21,405.5,359.79523809523806,0.042904597934851,-0.08726677858600732,0.401338661397462
78747 | Private room | 1-2 guests,26,63.0,66.73807692307693,-0.18150032905171448,-0.1698066622945794,0.2652499218018067
78747 | Private room | 3-4 guests,2,351.5,351.5,0.5046889243032942,0.5046889243032942,0.3680217955050751
78748 | Entire home/apt | 1-2 guests,20,140.25,139.02349999999998,-0.03459430252934665,-0.06275489644754531,0.22612589225160593
78748 | Entire home/apt | 3-4 guests,27,171.5,230.6303703703704,-0.0473258044586097,0.01893503671138798,0.3786709976035043
78748 | Entire home/apt | 5-6 guests,30,231.19,249.63533333333334,0.019502536657701,-0.021366911238406047,0.29126858383663634
78748 | Entire home/apt | 7+ guests,34,365.0,418.3405882352941,0.0516158200316425,0.06250346115092997,0.29973845873101546
78748 | Private room | 1-2 guests,27,46.51,65.45296296296296,-0.0745090863260022,-0.019425290415706172,0.1843367148640817
78748 | Private room | 3-4 guests,5,188.0,171.84,-0.4116887365561021,-0.1779477290124003,0.44988811385960503
78749 | Entire home/apt | 1-2 guests,10,128.715,150.049,-0.03003536671837985,-0.02065428614448876,0.27524000783275127
78749 | Entire home/apt | 3-4 guests,13,236.0,224.22615384615386,-0.0316751520130349,-0.11517964138319756,0.3993467960567658
78749 | Entire home/apt | 5-6 guests,26,249.18,288.0034615384615,-0.013094845371596851,0.0345824653106965,0.24409241944785912
78749 | Entire home/apt | 7+ guests,25,398.0,509.9996,0.017005967042226,0.03664474269507235,0.24031627818094664
78749 | Private room | 1-2 guests,18,104.0,129.85722222222222,0.0573161623994078,0.07460068767724126,0.26481185288000914
