simple_peer_group,group_size,group_median_price,group_mean_price,group_median_residual,group_mean_residual,group_std_residual
78738 | Entire home/apt,43,251.45,323.75581395348837,0.0111489813959693,-0.06034204147486674,0.4142178472204593
78738 | Private room,13,216.0,307.96923076923076,-0.079091377907134,-0.04091023123372845,0.15192026825488175
78739 | Entire home/apt,23,399.67,434.9104347826087,0.0060398398855507,-0.036887884414362124,0.36164510767325936
78739 | Private room,1,138.5,138.5,-0.3915737035471291,-0.3915737035471291,
78741 | Entire home/apt,436,205.45499999999998,284.9672706422018,-0.04314207588135225,-0.009815662457287528,0.330370809126055
78741 | Hotel room,8,97.5,96.75,-0.1171702974632795,-0.20525453496537266,0.20688825901895255
78741 | Private room,49,70.0,78.5834693877551,-0.0973059401286922,-0.07492276438529548,0.2761225523197968
78742 | Entire home/apt,4,311.25,340.5,-0.06315550244620825,-0.06582317713309815,0.13478404105029132
78744 | Entire home/apt,215,236.67,292.11134883720933,-0.0405464425557786,0.014891576027345048,0.3826133445578283
78744 | Hotel room,18,109.5,110.22222222222223,-0.0391638573404394,-0.07297922053403941,0.2417643002756997
78744 | Private room,116,70.875,81.67741379310345,-0.07176978714718091,0.0002803910040527826,0.35412954645324685
78745 | Entire home/apt,498,229.5,276.3128714859438,-0.0049317147575659494,-0.003979698180247521,0.332525162817489
78745 | Private room,93,81.69,95.97569892473118,-0.1206331157378004,-0.07344760109627677,0.32858034102717454
78746 | Entire home/apt,133,514.0,815.9778195488722,-0.0191392700671446,0.05401072285789615,0.45710779340590807
78746 | Private room,20,114.19,129.096,-0.0631226957247692,-0.08333406191319287,0.36498134434382856
78747 | Entire home/apt,38,262.475,291.2165789473684,-0.018625978588558252,-0.03085288951234752,0.3516692948447049
78747 | Private room,28,63.0,87.07821428571428,-0.14301874690527544,-0.12162840610901701,0.3185194114503987
78748 | Entire home/apt,111,219.9,276.75792792792794,-0.0080403660744234,0.006668994632756816,0.3068142622775886
78748 | Private room,32,53.59,82.0759375,-0.0776615515586935,-0.04419442144643963,0.24090504072286126
78749 | Entire home/apt,74,255.95999999999998,333.1555405405405,-0.00381797184480875,0.001505195486871111,0.2797344144457866
78749 | Private room,23,109.0,149.16652173913045,0.052333828896165,0.04298892933639438,0.38935647374705634
78750 | Entire home/apt,38,199.75,306.78473684210525,-0.0202465878230015,0.00770869452756182,0.4614890223332302
78750 | Private room,3,39.45,63.076666666666675,-0.1707103387679236,-0.21492574055981153,0.13336178122848577
78751 | Entire home/apt,260,155.0,192.41438461538462,-0.02360373286104605,-0.007258976774988689,0.26642375340564817
78751 | Private room,32,39.82,64.453125,-0.0723222522972644,-0.01662246974083298,0.2869833232116344
78751 | Shared room,43,16.81,17.607209302325582,-0.0367879379038522,-0.014843714502019552,0.16573305605670488
78752 | Entire home/apt,157,131.71,169.7036942675159,-0.0561905547667471,-0.02275077970427223,0.26532142566651595
78752 | Private room,51,128.0,187.90098039215687,0.0144451091579327,-0.004995625056531621,0.22986265930757604
78753 | Entire home/apt,131,174.83,214.12,-0.030392938382544,-0.013851989564159695,0.3051548852511133
78753 | Hotel room,9,271.0,304.44444444444446,-0.0472446717632619,-0.087031009598664,0.22189070581292758
78753 | Private room,51,60.0,75.27411764705883,-0.0042280140436621,0.005309193478191805,0.2693939848527584
78753 | Shared room,1,44.0,44.0,-0.5585222316860095,-0.5585222316860095,
78754 | Entire home/apt,55,240.0,287.84236363636364,-0.0161843363263818,0.0054110392880652594,0.4200419199970349
78754 | Hotel room,15,260.8,234.06666666666666,-0.0311658766734668,-0.08323948604975316,0.14308558243547173
78754 | Private room,57,66.72,82.59315789473685,-0.0116114225045382,-0.01427076615589794,0.3219155291603897
78756 | Entire home/apt,104,198.0,242.32538461538462,-0.06027943290640355,-0.03413043430391302,0.24099844686719893
78756 | Private room,6,46.67,64.51166666666667,0.15304695932010465,0.14210878832966573,0.13310744151378967
78756 | Shared room,14,16.81,18.55,-0.01192386589930105,0.01833816005971384,0.1421226444870802
78757 | Entire home/apt,173,167.22,251.42849710982657,-0.0444248698025901,-0.0008369170858996645,0.3475522801091263
78757 | Private room,18,102.0,95.23,-0.04353701763009506,-0.05733658006438959,0.3459390561369541
78757 | Shared room,2,29.905,29.905,0.3384231020424082,0.3384231020424082,0.0696482061137718
78758 | Entire home/apt,269,194.0,223.6895910780669,0.0120289578745911,0.01672515215334646,0.3318905000630394
78758 | Hotel room,8,117.0,165.275,0.0196154250635536,0.011363811981718212,0.18516974756609558
78758 | Private room,30,65.555,103.27733333333335,0.059504281553960106,0.03293859877655722,0.36894187642631127
78759 | Entire home/apt,99,202.0,244.08505050505048,-0.0382749316144179,-0.04545265106176223,0.3145572273018841
78759 | Hotel room,1,83.0,83.0,-0.1660818358979421,-0.1660818358979421,
78759 | Private room,25,107.0,147.7568,0.0152533634394727,-0.016499475835995692,0.2324808803395442
